rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
435	manaus_br	Manaus	Latin America Metro Spine	Latin America Metro Spine triage routing depot	Latin Metro	Manaus Data Beacon	Latin Metro with triage conveyor lanes around Manaus Data Beacon, signature 435	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
436	curitiba_br	Curitiba	Latin America Metro Spine	Latin America Metro Spine drone beacon yard	Latin Metro	Curitiba Command Obelisk	Latin Metro with timed beacon pylons around Curitiba Command Obelisk, signature 436	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
437	porto_alegre_br	Porto Alegre	Latin America Metro Spine	Latin America Metro Spine mirror-code archive	Latin Metro	Porto Alegre Relay Bridge	Latin Metro with mirrored plaza around Porto Alegre Relay Bridge, signature 437	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
438	yokohama_jp	Yokohama	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Yokohama Power Crown	Neon Megacity with halved search vault around Yokohama Power Crown, signature 438	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
439	fukuoka_jp	Fukuoka	East Asia Megacity Belt	East Asia Megacity Belt evacuation chain depot	Neon Megacity	Fukuoka Signal Spire	Neon Megacity with linked evacuation posts around Fukuoka Signal Spire, signature 439	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
440	sapporo_jp	Sapporo	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Sapporo Rescue Arch	Neon Megacity with halved search vault around Sapporo Rescue Arch, signature 440	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
441	taipei_tw	Taipei	East Asia Megacity Belt	East Asia Megacity Belt triage routing depot	Neon Megacity	Taipei Data Beacon	Neon Megacity with triage conveyor lanes around Taipei Data Beacon, signature 441	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
442	kaohsiung_tw	Kaohsiung	East Asia Megacity Belt	East Asia Megacity Belt drone beacon yard	Neon Megacity	Kaohsiung Command Obelisk	Neon Megacity with timed beacon pylons around Kaohsiung Command Obelisk, signature 442	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
443	quezon_city_ph	Quezon City	Southeast Asia Delta Route	Southeast Asia Delta Route mirror-code archive	Monsoon Port	Quezon City Relay Bridge	Monsoon Port with mirrored plaza around Quezon City Relay Bridge, signature 443	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
444	davao_city_ph	Davao City	Southeast Asia Delta Route	Southeast Asia Delta Route sorted supply-cache vault	Monsoon Port	Davao City Power Crown	Monsoon Port with halved search vault around Davao City Power Crown, signature 444	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
445	hanoi_vn	Hanoi	Southeast Asia Delta Route	Southeast Asia Delta Route evacuation chain depot	Monsoon Port	Hanoi Signal Spire	Monsoon Port with linked evacuation posts around Hanoi Signal Spire, signature 445	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
446	phnom_penh_kh	Phnom Penh	Southeast Asia Delta Route	Southeast Asia Delta Route sorted supply-cache vault	Monsoon Port	Phnom Penh Rescue Arch	Monsoon Port with halved search vault around Phnom Penh Rescue Arch, signature 446	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
447	yangon_mm	Yangon	Southeast Asia Delta Route	Southeast Asia Delta Route triage routing depot	Monsoon Port	Yangon Data Beacon	Monsoon Port with triage conveyor lanes around Yangon Data Beacon, signature 447	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
448	mandalay_mm	Mandalay	Southeast Asia Delta Route	Southeast Asia Delta Route drone beacon yard	Monsoon Port	Mandalay Command Obelisk	Monsoon Port with timed beacon pylons around Mandalay Command Obelisk, signature 448	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
449	vientiane_lao	Vientiane	Southeast Asia Delta Route	Southeast Asia Delta Route mirror-code archive	Monsoon Port	Vientiane Relay Bridge	Monsoon Port with mirrored plaza around Vientiane Relay Bridge, signature 449	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
450	bandung_id	Bandung	Western Corridor	Western Corridor sorted supply-cache vault	Monsoon Port	Bandung Power Crown	Monsoon Port with halved search vault around Bandung Power Crown, signature 450	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
451	surabaya_id	Surabaya	Western Corridor	Western Corridor evacuation chain depot	Monsoon Port	Surabaya Signal Spire	Monsoon Port with linked evacuation posts around Surabaya Signal Spire, signature 451	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
452	medan_id	Medan	Western Corridor	Western Corridor sorted supply-cache vault	Monsoon Port	Medan Rescue Arch	Monsoon Port with halved search vault around Medan Rescue Arch, signature 452	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
453	denpasar_id	Denpasar	Western Corridor	Western Corridor triage routing depot	Monsoon Port	Denpasar Data Beacon	Monsoon Port with triage conveyor lanes around Denpasar Data Beacon, signature 453	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
454	auckland_nz	Auckland	Oceania Harbor Ring	Oceania Harbor Ring drone beacon yard	Oceania Harbor	Auckland Command Obelisk	Oceania Harbor with timed beacon pylons around Auckland Command Obelisk, signature 454	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
455	warsaw_pl	Warsaw	European Historic Core	European Historic Core mirror-code archive	Historic Core	Warsaw Relay Bridge	Historic Core with mirrored plaza around Warsaw Relay Bridge, signature 455	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
